,Emërtimi,Vendi - Komuna,Adresa,Numri ngastrës,geometry
0,Atik Xhamia,Gjilan,"""Zija Shemsiu '1 118",03239-1,POINT (7538464.855 4703228.552)
1,Shtëpia e Isak Pozharanit,Gjilan,"""Abullah Tahiri""",03621-0,POINT (7538930.805 4703043.622)
2,Çeshmja e Sahit Agës,Gjilan,"Rruga e ""Malishevës""",01221-0,POINT (7540240.54 4702090.055)
3,Shkolla e muzikës në Gjilan,Gjilan,"""Adem Jashari""-108",03358-1,POINT (7538449.42 4703137.307)
4,Shtëpia e Zekirja Abdullahut,Gjilan,"""Isa Kastrati""-14",03441-0,POINT (7538549.1 4703119.807)
5,Objekti Kajmekamllakut,Gjilan,"""Adem Jashari 'i-28",03871-1,POINT (7538591.05 4702972.767)
6,Objekti depos ushtarake turke,Gjilan,"""Idriz Seferi""-3",02433-0 - 122 -o,POINT (7538326.55 4702373.297)
7,Objekti Teknikës Popullore,Gjilan,"""Adem Jashari t'-66",03429-2,POINT (7538574.72 4703015.507)
8,Shtëpia e Farush Okllapit,Gjilan,"""Adem Jashari""-100",3362-2,POINT (7538477.97 4703123.545)
9,Oda e Fevzi Hoxhës,"Cernicë, Gjilan","Cernicë, p.n.",4379-0,POINT (7534638.86 4698039.855)
10,Minarja e Xhamisë,"Cernicë, Gjilan","Cernicë, p.n",02324-0,POINT (7534535.96 4698089.555)
11,Koshi Fevzi Hoxhes,"Cernicë, Gjilan","Cernicë, p.n",02324-0,POINT (7534696.82 4698060.435)
12,Shtëpia - kullë e Sahit Agës,Gjilan,Rruga e Malishevës,0122M,POINT (7540205.3 4702107.965)
